"","Y.stay","Y.leave","Y.unknown","N"
"1",898,918,224,2040
"2",829,789,355,1973
"3",882,922,201,2005
"4",464,501,257,1222
"5",440,320,40,800
"6",471,391,140,1002
"7",881,963,204,2048
"8",551,371,80,1002
"9",520,410,70,1000
"10",725,659,264,1648
"11",884,803,321,2008
"12",464,304,32,800
"13",901,901,201,2003
"14",497,522,194,1213
"15",615,615,270,1500
"16",446,385,182,1013
"17",721,737,180,1638
"18",422,452,130,1004
"19",408,368,24,800
"20",903,964,185,2052
"21",863,823,321,2007
"22",1433,1573,489,3495
"23",384,376,40,800
"24",880,983,184,2047
"25",860,840,301,2001
